artist_mbid,artist_name,rg_mbid,rg_title,primary_type,first_release_date,first_release_year
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,ebf85e09-cafc-4599-8742-931b5333df23,Live Long & Prosper,Album,2015-10-21,2015.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,b2a47192-aa94-4162-8ac3-18536dc65254,MykonoΣ 2015 Feel the Heat,Album,2015,2015.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,6552b1d4-6d5b-4c18-9b42-8577c3499c83,Out Of This World,Album,2015-04-06,2015.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,feae81a2-fdf6-4e6d-bff3-b05777bab03d,Peaches-N-Cream,Album,2015-05-06,2015.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,78dcf68e-7c9f-48f7-8ada-5ec988616fcb,The Very Best of Chilled R&B,Album,2015,2015.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,15f59db0-6409-437f-8337-936fafff2b19,100x Zomer 2016,Album,2016,2016.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,59101879-fe91-4b14-a460-2aa5fc77f131,Edits,EP,2016-03-30,2016.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,a8fea39e-0426-4e32-ade8-d3a1d3454cb5,Hidden Figures: The Album,Album,2016-10-24,2016.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,712c46d4-dbe8-4256-bd55-c6251ba110a2,Ministry of Sound: Good Vibes,Album,2016,2016.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,98bc5dd9-fc36-4bb3-8663-f4265c3651de,Top 40 Summer: The Ultimate Top 40 Collection,Album,2016-07-05,2016.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,675438f1-790f-4eef-8928-9a85623c781c,Ultimate Voices,Album,2016-03-18,2016.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,fb5e1ee4-6a3f-4641-b97e-b8b8ad5ec257,Essential Hits 147,Album,2017-06-15,2017.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,b0a1402c-450f-46c1-99c2-688f274009ae,Never Down Ep Frenchcore 2017,EP,2017-02-28,2017.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,4ff99951-d84e-4626-89ae-3385a55f9177,Summertime Vol. 8,Album,2017-07-04,2017.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,a5cb87a6-8a1a-42a6-8f8b-18dda5a83eab,Souris Calle,Album,2018-10-13,2018.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,ebc4fc4f-a0be-40bf-a312-a14e1b8ad3fd,F.C. De Kampioenen 4: Viva Boma!,Album,2019,2019.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,4294fdf3-c33d-406e-b816-890505380e24,Audioclash: Pop – Remixed,Album,2022-05-06,2022.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,dcfc202c-3f77-4459-be1d-978f494fa82e,Black Yacht Rock Vol. 1: City of Limitless Access,Album,2024-04-05,2024.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,de94f608-aa3e-4f85-b5e0-f5f20826e80e,Piece by Piece Full Soundtrack,Album,2024-10-11,2024.0
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,a5057f0b-91d8-33a5-be7b-5033dee533e6,"2007-07-07: Live Earth, Copacabana Beach, Rio de Janeiro, Brazil",Album,,
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,08b31a45-4939-35fd-a65d-330c3415c59b,Down With the King (Gangsta Grillz),Album,,
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,e15480ab-7a06-492f-a5a9-22433bdedc9d,Gangsta Boyz Part 2,Album,,
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,e084db5d-6536-44ba-aa57-7093479a7b53,HitExplosion 3,Album,,
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,f30afec7-1d77-4e4f-8207-35d558346b14,Piece by Piece - Music from the Motion Picture,Album,,
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,49545cfc-b5f7-3696-a82b-00a466c83f60,Rhythm & Streets 7 (Mixed by DJ Sense),Album,,
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,48609cc7-acb8-3217-b3c9-52739a99e70f,Skateboards and Blazers,Album,,
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,fd7d1af6-66f1-4ad0-82d3-35b69ba8bece,Spotify Sessions,Single,,
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,ce398490-b467-3d14-b376-64c148ee4139,"The Future of R&B, Part 7 (Mixed by Tapemasters Inc.)",Album,,
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,ed869970-98ad-35bb-8258-a8ed72bf003d,"The Inc Files, Part 6 (Mixed by Tapemasters Inc.)",Album,,
149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,db84f720-2560-4d53-b38b-8279176b35d2,Top of the Spot 2016,Album,,
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,9cbbd96d-efee-40ca-880f-71393f673e43,Good Girl Going Bad Mixtape,Album,2005-07-03,2005.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,bc237fe9-bbf4-4395-8ddc-902073b6b021,If It's Lovin' That You Want,Single,2005-11-21,2005.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,aefe7de5-11df-38c3-97f5-13df615870fd,Music Of The Sun,Album,2005,2005.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,572a0902-159f-39f7-b5c1-4c5159d735f7,Pon de Replay,Single,2005,2005.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,58846e3f-fc2b-4e55-bf63-530ded44a8e2,Pon de Replay (Dance Remixes),Single,2005-07-26,2005.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,51797d3d-7071-30ee-9fb3-d60aad857ef0,A Girl Like Me,Album,2006,2006.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,640d2620-e80a-3bbe-982a-619edc5b9096,Big Club Hits,Album,2006-05-15,2006.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,0e8c107d-6241-38eb-bee6-abfb49388167,Bravo Hits 52,Album,2006-02-24,2006.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,084fc125-67fa-4847-8f37-a4796350cb00,Full Tilt Remix Volume Eight,Album,2006,2006.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,c37c4e65-cdef-4360-9a3e-9e190820aba0,Hits 2. 2006,Album,2006,2006.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,ab6c6a6f-eba8-3069-9e2e-704cca4ca8b8,Malhação Internacional 2006,Album,2006,2006.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,95063916-a029-3110-9f39-78bcd7c07171,"Partyhouse, Volume 2",Album,2006,2006.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,ccf2d290-5fe0-3d1c-9244-89a2a06daf8a,"Promo Only: Dance Radio, December 2006",Album,2006-10,2006.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,b4863081-aecc-3631-816e-1542d8b55763,"Promo Only: Dance Radio, May 2006",Album,2006-05,2006.0
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,690c0ec8-4eac-3c4f-b380-a2c46b3ff19f,"Promo Only: Mainstream Radio, March 2006",Album,2006-02-17,2006.0
